Name,Stars,Rooms,Beds,Postcal Code,Nr,Location
ORLANDO HOTEL,3,7,14,1017JH,1099,52.3625:4.9
HART VAN AMSTERDAM HOTEL,0,24,132,1012DT,120,52.3722:4.8974
HOTEL JL. NO.76,4,39,78,1071CT,76,52.3594:4.8793
"REMISE,LA",0,3,6,1071TW,74,52.3538:4.8843
"M.DE VRIES, B&B",0,3,5,1012DV,134,52.3718:4.897
AJAX HOTEL D.R.,2,21,40,1012KZ,104,52.3695:4.8919
IJ-BOULEVARD HOTEL,0,35,85,1011AT,144-145,52.3733:4.9064
ZANDBERGEN HOTEL BV,3,21,37,1071HB,205,52.3555:4.8693
CITY HOTEL AMSTERDAM,2,49,100,1011AP,130,52.3739:4.9053
BICYCLE HOTEL,1,15,30,1072SV,123,52.3525:4.8934
"INTERNATIONAAL DELPORT BV, HOTEL",1,8,18,1012HT,1-3,52.376:4.8992
COSMOS AMSTERDAM HOTEL,0,20,130,1012NG,17,52.3753:4.8933
MAURO MANSION,0,9,18,1012BH,16,52.3761:4.9018
AMSTERDAM OOSTERPARK INN,0,6,14,1092AS,71,52.3592:4.9228
ART HOTEL DULAC,3,21,42,1013EX,120,52.3811:4.8904
BASTION HOTEL AMSTERDAM AMSTEL,3,192,384,1096BX,30,52.3324:4.9224
LA FESTA BED & BREAKFAST,0,4,8,1016SR,64,52.37:4.8802
COCOMAMA,0,12,40,1017ZP,18,52.3587:4.8987
CONSERVATORIUM HOTEL AMSTERDAM,5,129,258,1071AN,27,52.3591:4.8781
CROWNE PLAZA AMSTERDAM - SOUTH,4,207,414,1082MT,101,52.336:4.8718
DIMILLION SUITE HOTEL,0,25,85,1011KW,73-77,52.3704:4.9033
EASYHOTEL AMSTERDAM,2,80,160,1072ST,97,52.3524:4.8929
HOLIDAY INN EXPRESS AMSTERDAM SLOTERDIJK STATION,3,254,508,1043EH,3,52.3884:4.8376
HOTEL ATLANTIS AMSTERDAM,2,45,94,1074CV,215-217,52.3552:4.9019
HOTEL PLANT,0,5,10,1012TL,15,52.3787:4.8961
IL FIORE BED & BREAKFAST,0,3,6,1015KB,25-1,52.3804:4.8871
LE TISSERAND CHAMBRES D'HOTES,0,5,10,1017SR,5,52.3616:4.8883
THORBECKE APPARTMENTS,0,3,9,1017CS,13,52.3654:4.8957
HOSTELLE,0,15,84,1102AN,2,52.3152:4.9497
HOLIDAY INN EXPRESS AMSTERDAM SOUTH,3,80,128,1081AP,20,52.3257:4.8668
AMIGO BUDGET HOSTEL,0,24,83,1093EP,199,52.3563:4.9279
RAMADA APOLLO AMSTERDAM CENTRE,4,446,892,1057PH,410,52.3683:4.8446
SKOTEL,0,20,40,1083HH,109,52.3335:4.8867
MEININGER AMSTERDAM CITY WEST,3,219,749,1043DR,1-67,52.3906:4.8375
HOTEL MOSAIC,3,37,114,1054BR,16-A,52.3646:4.8736
AMADI PARK HOTEL,4,33,60,1054BR,26-G,52.3646:4.8736
SIR ALBERT HOTEL,4,90,180,1072CT,"2,",52.3545:4.8881
AMSTERDAM IDENTITY APARTMENTS,3,55,88,1043CP,"10,",52.3864:4.8337
LA CORTE SCONTA,0,3,6,1086VB,"20,",52.3642:4.9852
B&B BROUWERSGR8,0,3,6,1013GW,8-II,52.3792:4.8933
BASTION HOTEL AMSTERDAM CENTRUM,3,90,180,1058GC,60,52.3567:4.8444
SUNHEAD OF 1617,0,3,6,1016BN,152,52.3746:4.8873
HOTEL AMBASSADE,4,59,118,1016AX,335-353,52.3696:4.8872
KEIZERSGRACHT APARTMENTS,0,4,8,1017EZ,760,52.3635:4.898
GOLDEN TULIP AMSTERDAM WEST,4,248,614,1014AG,1,52.3856:4.8488
HOTEL V NESPLEIN,4,43,86,1012KD,49,52.3701:4.8935
PARCK BED & BREAKFAST,0,3,8,1054HW,251,52.3604:4.8667
HOTEL IRON HORSE,3,37,71,1054HB,33,52.363:4.877
HOTEL ESPRESSO CITY CENTRE,3,68,152,1054HC,57,52.3626:4.8756
ANDAZ AMSTERDAM PRINSENGRACHT HOTEL,5,122,244,1016HT,587,52.368:4.8829
CENTRAL STATION HOSTEL,0,6,34,1012HJ,3,52.3718:4.8949
HOTEL VOSSIUS VONDELPARK,3,39,80,1071AB,8,52.3612:4.8818
THE CANAL-HOTEL (AMSTEL HOSPITALITY GROUP),0,16,32,1017XJ,253,52.3595:4.8969
MUSEUM SUITES,0,4,8,1071GV,113,52.3567:4.8735
FLETCHER HOTEL AMSTERDAM,4,120,240,1105AT,50,52.2954:4.9441
